Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
13	C1	combined	Drop	0	0	0	0
13	C2	combined	Drop	0	0	0	0
13	R1	combined	Drop	0	0	0	0
13	R2	combined	Drop	0	0	0	0
13	C3	combined	Drop	0	0	0	0
13	D1	combined	Drop	0	0	0	0
13.5	C1	combined	Drop	0	0	0	0
13.5	C2	combined	Drop	0	0	0	0
13.5	R1	combined	Drop	0	0	0	0
13.5	R2	combined	Drop	0	0	0	0
13.5	C3	combined	Drop	0	0	0	0
13.5	D1	combined	Drop	0	0	0	0
14	C1	combined	Drop	0	0	0	0
14	C2	combined	Drop	0	0	0	0
14	R1	combined	Drop	0	0	0	0
14	R2	combined	Drop	0	0	0	0
14	C3	combined	Drop	0	0	0	0
14	D1	combined	Drop	0	0	0	0
14.5	C1	combined	Drop	0	0	0	0
14.5	C2	combined	Drop	0	0	0	0
14.5	R1	combined	Drop	0	0	0	0
14.5	R2	combined	Drop	0	0	0	0
14.5	C3	combined	Drop	0	0	0	0
14.5	D1	combined	Drop	0	0	0	0
15	C1	combined	Drop	0	0	0	0
15	C2	combined	Drop	0	0	0	0
15	R1	combined	Drop	0	0	0	0
15	R2	combined	Drop	0	0	0	0
15	C3	combined	Drop	0	0	0	0
15	D1	combined	Drop	0	0	0	0
15.5	C1	combined	Drop	0	0	0	0
15.5	C2	combined	Drop	0	0	0	0
15.5	R1	combined	Drop	0	0	0	0
15.5	R2	combined	Drop	0	0	0	0
15.5	C3	combined	Drop	0	0	0	0
15.5	D1	combined	Drop	0	0	0	0
16	C1	combined	Drop	0	0	0	0
16	C2	combined	Drop	0	0	0	0
16	R1	combined	Drop	0	0	0	0
16	R2	combined	Drop	0	0	0	0
16	C3	combined	Drop	0	0	0	0
16	D1	combined	Drop	0	0	0	0
16.5	C1	combined	Drop	0	0	0	0
16.5	C2	combined	Drop	0	0	0	0
16.5	R1	combined	Drop	0	0	0	0
16.5	R2	combined	Drop	0	0	0	0
16.5	C3	combined	Drop	0	0	0	0
16.5	D1	combined	Drop	0	0	0	0
17	C1	combined	Drop	0	0	0	0
17	C2	combined	Drop	0	0	0	0
17	R1	combined	Drop	0	0	0	0
17	R2	combined	Drop	0	0	0	0
17	C3	combined	Drop	0	0	0	0
17	D1	combined	Drop	0	0	0	0
17.5	C1	combined	Drop	0	0	0	0
17.5	C2	combined	Drop	0	0	0	0
17.5	R1	combined	Drop	0	0	0	0
17.5	R2	combined	Drop	0	0	0	0
17.5	C3	combined	Drop	0	0	0	0
17.5	D1	combined	Drop	0	0	0	0
18	C1	combined	Drop	0	0	0	0
18	C2	combined	Drop	0	0	0	0
18	R1	combined	Drop	0	0	0	0
18	R2	combined	Drop	0	0	0	0
18	C3	combined	Drop	0	0	0	0
18	D1	combined	Drop	0	0	0	0
18.5	C1	combined	Drop	0	0	0	0
18.5	C2	combined	Drop	0	0	0	0
18.5	R1	combined	Drop	0	0	0	0
18.5	R2	combined	Drop	0	0	0	0
18.5	C3	combined	Drop	0	0	0	0
18.5	D1	combined	Drop	0	0	0	0
19	C1	combined	Drop	0	0	0	0
19	C2	combined	Drop	0	0	0	0
19	R1	combined	Drop	0	0	0	0
19	R2	combined	Drop	0	0	0	0
19	C3	combined	Drop	0	0	0	0
19	D1	combined	Drop	0	0	0	0
19.5	C1	combined	Drop	0	0	0	0
19.5	C2	combined	Drop	0	0	0	0
19.5	R1	combined	Drop	0	0	0	0
19.5	R2	combined	Drop	0	0	0	0
19.5	C3	combined	Drop	0	0	0	0
19.5	D1	combined	Drop	0	0	0	0
20	C1	combined	Drop	0	0	0	0
20	C2	combined	Drop	0	0	0	0
20	R1	combined	Drop	0	0	0	0
20	R2	combined	Drop	0	0	0	0
20	C3	combined	Drop	0	0	0	0
20	D1	combined	Drop	0	0	0	0
20.5	C1	combined	Drop	0	0	0	0
20.5	C2	combined	Drop	0	0	0	0
20.5	R1	combined	Drop	0	0	0	0
20.5	R2	combined	Drop	0	0	0	0
20.5	C3	combined	Drop	0	0	0	0
20.5	D1	combined	Drop	0	0	0	0
21	C1	combined	Drop	0	0	0	0
21	C2	combined	Drop	0	0	0	0
21	R1	combined	Drop	0	0	0	0
21	R2	combined	Drop	0	0	0	0
21	C3	combined	Drop	0	0	0	0
21	D1	combined	Drop	0	0	0	0
21.5	C1	combined	Drop	0	0	0	0
21.5	C2	combined	Drop	0	0	0	0
21.5	R1	combined	Drop	0	0	0	0
21.5	R2	combined	Drop	0	0	0	0
21.5	C3	combined	Drop	0	0	0	0
21.5	D1	combined	Drop	0	0	0	0
22	C1	combined	Drop	0	0	0	0
22	C2	combined	Drop	0	0	0	0
22	R1	combined	Drop	0	0	0	0
22	R2	combined	Drop	0	0	0	0
22	C3	combined	Drop	0	0	0	0
22	D1	combined	Drop	0	0	0	0
22.5	C1	combined	Drop	0	0	0	0
22.5	C2	combined	Drop	0	0	0	0
22.5	R1	combined	Drop	0	0	0	0
22.5	R2	combined	Drop	0	0	0	0
22.5	C3	combined	Drop	0	0	0	0
22.5	D1	combined	Drop	0	0	0	0
23	C1	combined	Drop	0	0	0	0
23	C2	combined	Drop	0	0	0	0
23	R1	combined	Drop	0	0	0	0
23	R2	combined	Drop	0	0	0	0
23	C3	combined	Drop	0	0	0	0
23	D1	combined	Drop	0	0	0	0
23.5	C1	combined	Drop	0	0	0	0
23.5	C2	combined	Drop	0	0	0	0
23.5	R1	combined	Drop	0	0	0	0
23.5	R2	combined	Drop	0	0	0	0
23.5	C3	combined	Drop	0	0	0	0
23.5	D1	combined	Drop	0	0	0	0
24	C1	combined	Drop	0	0	0	0
24	C2	combined	Drop	0	0	0	0
24	R1	combined	Drop	0	0	0	0
24	R2	combined	Drop	0	0	0	0
24	C3	combined	Drop	0	0	0	0
24	D1	combined	Drop	0	0	0	0
24.5	C1	combined	Drop	0	0	0	0
24.5	C2	combined	Drop	0	0	0	0
24.5	R1	combined	Drop	0	0	0	0
24.5	R2	combined	Drop	0	0	0	0
24.5	C3	combined	Drop	0	0	0	0
24.5	D1	combined	Drop	0	0	0	0
25	C1	combined	Drop	0	0	0	0
25	C2	combined	Drop	0	0	0	0
25	R1	combined	Drop	0	0	0	0
25	R2	combined	Drop	0	0	0	0
25	C3	combined	Drop	0	0	0	0
25	D1	combined	Drop	0	0	0	0
25.5	C1	combined	Drop	0	0	0	0
25.5	C2	combined	Drop	0	0	0	0
25.5	R1	combined	Drop	0	0	0	0
25.5	R2	combined	Drop	0	0	0	0
25.5	C3	combined	Drop	0	0	0	0
25.5	D1	combined	Drop	0	0	0	0
