seq	C	
1	0.302611
2	0.5904036
3	0.41773
4	0.17071
5	0.3968
6	0.51957
7	0.6762
8	0.17434
9	0.4371
10	0.3175
11	0.3189
12	0.2772
13	0.2228
14	0.4702
15	0.6269
16	0.8136
17	0.6346
18	0.7363
19	0.3899
20	0.4034
21	0.4878
22	0.4294
23	0.6643
24	0.8069
25	0.3237
26	0.4835
27	1.2043
28	0.193
29	0.5103
30	0.2352
31	0.4187
32	0.4207
33	0.227
34	0.4244
35	0.3531
36	0.3999
37	0.6332
38	0.4353
39	0.3785
40	0.2807
41	0.53
42	0.6883
43	0.65
44	0.2918
45	0.3951
46	0.5111
47	0.2627
48	0.4781
49	0.3064
50	0.4466
51	1.0147
52	0.8456
53	0.3257
54	0.3141
55	0.3412
56	0.4217
57	0.423
58	0.3699
59	1.0814
60	0.9888
61	0.2995
62	0.3236
63	0.3737
64	0.4375
65	0.3913
66	0.2727
67	0.4006
68	0.2512
69	0.5415
70	0.2322
71	0.3358
72	0.303
73	0.452
74	0.4191
75	0.3584
76	0.2652
77	0.381
78	0.6385
79	0.3485
80	0.3714
81	0.3257
82	0.3696
83	0.3561
84	0.1771
85	0.2261
86	0.4157
87	0.5254
88	0.3768
89	0.6385
90	0.1906
91	0.3786
92	0.5162
93	0.4879
94	0.4926
95	0.2389
96	0.3929
97	0.4311
98	0.1525
99	0.4173
100	0.8631
101	1.4033
102	1.5829
103	0.422
104	0.648
105	0.571
106	0.799
107	1.186
108	0.319
109	0.313
110	0.703
111	0.293
112	0.37
113	0.416
114	0.416
115	0.603
116	0.348
117	0.236
118	0.237
119	0.212
120	0.453
121	0.702
122	0.182
123	0.325
124	0.573
125	0.214
126	0.207
127	0.521
128	0.604
129	0.287
130	0.264
131	0.381
132	0.456
133	1.123
134	0.496
135	0.365
136	0.472
137	0.393
138	0.728
139	0.433
140	0.733
141	0.396
142	0.162
143	0.596
144	0.404
145	0.154
146	0.426
147	0.318
148	0.21
149	0.357
150	0.395
151	0.222
152	0.445
153	0.636
154	1.155
155	0.874
156	0.33
157	0.344
158	0.317
159	0.408
160	0.405
161	0.418
162	0.693
163	0.303
164	0.249
165	0.305
166	0.185
167	0.27
168	0.549
169	0.444
170	0.551
171	0.378
172	0.357
173	0.404
174	0.304
175	0.21
176	0.444
177	0.357
178	0.36
179	0.372
180	0.209
181	0.227
182	0.299
183	0.333
184	0.683
185	0.604
186	0.35
187	0.547
188	0.767
189	0.342
190	0.73
191	0.461
192	0.484
193	0.288
194	0.272
195	0.176
196	0.358
197	0.192
198	0.505
199	0.407
200	1.015
201	1.204
202	1.344
203	0.911
204	0.508
205	0.639
206	0.387
207	0.29
208	0.234
209	0.696
210	0.862
211	0.478
212	0.422
213	0.327
214	0.21
215	0.363
216	0.253
217	0.185
218	0.178
219	0.361
220	0.196
221	0.346
222	0.36
223	0.187
224	0.279
225	0.217
226	0.422
227	0.544
228	0.377
229	0.273
230	0.414
231	0.247
232	0.817
233	0.686
234	0.966
235	0.35
236	0.219
237	0.31
238	0.296
239	0.397
240	1.17
241	1.217
242	1.636
243	1.487
244	0.698
245	0.45
246	0.446
247	0.3
248	0.226
249	0.394
250	0.355
251	0.314
252	0.282
253	0.291
254	0.23
255	0.16
256	0.295
257	0.186
258	0.175
259	0.454
260	0.594
261	0.623
262	0.811
263	0.368
264	0.344
265	0.3
266	0.318
267	0.55
268	0.186
269	0.192
270	0.425
271	0.409
272	0.247
273	0.325
274	0.553
275	0.79
276	1.012
277	0.161
278	0.605
279	0.542
280	0.568
281	0.493
282	0.549
283	0.49
284	0.406
285	0.166
286	0.539
287	1.07
288	0.465
289	0.451
290	0.354
291	0.875
292	0.261
293	0.451
294	0.481
295	0.434
296	0.626
297	0.428
298	0.279
299	0.576
300	1.028
301	0.186
302	0.241
303	0.338
304	0.328
305	0.441
306	0.287
307	0.438
