seq	C	
517	0.153
518	0.152
519	0.152
520	0.152
521	0.153
522	0.153
523	0.152
524	0.153
525	0.152
526	0.153
527	0.153
528	0.153
529	0.153
530	not receive
531	not receive
532	0.152
533	0.153
534	0.152
535	0.152
536	0.153
537	0.152
538	0.152
539	0.153
540	0.153
541	0.153
542	0.153
543	0.152
544	0.153
545	0.152
546	not receive
547	0.153
548	0.153
549	0.152
550	not receive
551	0.152
552	0.152
553	0.152
554	0.153
555	0.152
556	0.152
557	0.153
558	0.153
559	not receive
560	0.153
561	0.153
562	0.152
563	0.153
564	0.152
565	0.152
566	0.153
567	not receive
568	0.153
569	0.153
570	0.153
571	not receive
572	0.153
573	0.153
574	not receive
575	0.153
576	0.152
577	0.152
578	0.152
579	0.152
580	0.152
581	0.153
582	0.153
583	0.152
584	0.152
585	0.152
586	0.152
587	0.153
588	0.152
589	not receive
590	0.153
591	0.153
592	0.153
593	0.153
594	0.152
595	not receive
596	0.153
597	0.153
598	0.153
599	0.152
600	0.153
601	0.153
602	0.153
603	0.152
604	not receive
605	not receive
606	0.152
607	0.152
608	0.153
609	0.153
610	0.153
611	0.152
612	0.153
613	0.152
614	0.153
615	0.152
616	0.153
617	0.153
618	0.153
619	not receive
620	0.153
621	not receive
622	not receive
623	0.152
624	0.152
625	0.152
626	0.152
627	0.153
628	not receive
629	0.152
630	0.153
631	0.153
632	not receive
633	0.153
634	0.152
635	0.153
636	0.152
637	0.153
638	0.153
639	0.152
640	0.152
641	0.152
642	0.153
643	not receive
644	0.152
645	0.153
646	0.153
647	not receive
648	0.153
649	0.153
650	not receive
651	0.153
652	0.153
653	not receive
654	not receive
655	0.152
656	0.153
657	0.153
658	0.152
659	0.153
660	0.153
661	0.153
662	not receive
663	0.152
664	not receive
665	0.153
666	0.152
667	not receive
668	0.153
669	0.153
670	0.152
671	0.153
672	0.152
673	not receive
674	0.152
675	0.152
676	0.152
677	0.153
678	0.152
679	0.152
680	not receive
681	0.152
682	0.152
683	0.152
684	0.153
685	0.153
686	0.152
687	0.152
688	0.152
689	0.153
690	0.153
691	0.153
692	0.153
693	0.152
694	0.153
695	0.152
696	0.152
697	0.152
698	not receive
699	0.153
700	0.153
701	0.152
702	0.152
703	0.153
704	0.152
705	0.153
706	0.152
707	not receive
708	0.153
709	0.152
710	0.152
711	0.152
