seq	C	
517	0.358
518	0.414
519	0.696
520	0.659
521	0.367
522	0.66
523	0.368
524	0.374
525	0.67
526	0.867
527	0.918
528	0.828
529	0.23
530	0.441
531	0.363
532	0.46
533	0.195
534	0.332
535	0.177
536	0.214
537	0.161
538	0.381
539	0.837
540	0.655
541	0.262
542	0.651
543	0.163
544	1.197
545	0.195
546	0.388
547	0.366
548	0.179
549	0.281
550	0.196
551	0.391
552	0.284
553	0.458
554	0.653
555	0.597
556	0.583
557	0.473
558	0.566
559	0.224
560	0.654
561	0.385
562	0.211
563	0.293
564	0.511
565	0.692
566	0.318
567	1.332
568	0.408
569	0.444
570	0.561
571	0.321
572	0.677
573	0.683
574	0.783
575	0.849
576	0.424
577	0.213
578	0.283
579	0.232
580	0.411
581	0.423
582	0.324
583	0.433
584	0.3
585	0.462
586	0.231
587	0.727
588	0.689
589	0.861
590	0.776
591	0.586
592	0.238
593	0.209
594	0.376
595	0.2
596	0.526
597	0.277
598	0.296
599	0.377
600	0.307
601	0.217
602	0.65
603	0.468
604	0.44
605	0.302
606	0.487
607	0.4
608	0.227
609	0.25
610	0.313
611	0.75
612	0.351
613	0.215
614	0.478
615	0.566
616	0.242
617	0.449
618	0.701
619	0.271
620	0.333
621	0.439
622	0.368
623	0.452
624	0.375
625	0.381
626	0.563
627	0.171
628	0.213
629	0.198
630	0.739
631	0.228
632	0.187
633	0.396
634	0.354
635	0.346
636	0.421
637	0.333
638	0.395
639	0.331
640	0.358
641	0.929
642	0.371
643	0.325
644	0.375
645	0.532
646	0.375
647	0.33
648	0.242
649	0.205
650	0.353
651	0.188
652	0.274
653	0.3
654	0.309
655	0.571
656	0.818
657	0.908
658	1.169
659	1.224
660	0.478
661	0.447
662	0.416
663	0.301
664	0.411
665	0.445
666	0.301
667	0.869
668	0.373
669	0.397
670	0.396
671	0.411
672	0.299
673	0.398
674	0.451
675	0.419
676	0.234
677	0.248
678	0.331
679	0.159
680	0.274
681	0.33
682	0.269
683	0.239
684	0.431
685	0.522
686	0.277
687	0.328
688	0.399
689	0.6
690	0.573
691	0.387
692	0.582
693	0.366
694	0.172
695	0.439
696	0.423
697	0.695
698	0.751
699	0.305
700	0.58
701	0.616
702	0.626
703	0.192
704	0.259
705	0.202
706	0.168
707	0.278
708	0.33
709	0.288
710	0.164
711	0.438
712	0.188
713	0.331
714	0.236
715	0.409
716	0.426
717	0.191
718	0.167
719	0.441
720	0.399
721	0.365
722	0.334
723	0.529
724	0.418
725	0.169
726	0.393
727	0.65
728	0.451
729	0.388
730	0.346
731	0.304
732	0.411
733	0.361
734	0.375
735	0.448
736	0.599
737	0.526
738	0.635
739	0.817
740	0.908
741	0.424
742	0.159
743	0.559
744	0.279
745	0.418
746	0.693
747	0.945
748	1.059
749	0.34
750	0.392
751	0.238
752	0.444
753	0.431
754	0.324
755	0.218
756	0.282
757	0.426
758	0.387
759	0.45
760	0.231
761	0.188
762	0.346
763	0.212
764	0.363
765	0.377
766	0.193
767	0.281
768	0.589
769	0.391
770	0.325
771	0.551
772	0.249
773	0.521
774	0.438
775	0.215
776	0.241
777	0.355
778	0.311
779	0.387
780	0.18
781	0.386
782	0.302
783	0.451
784	0.442
785	0.918
786	1.22
787	0.204
788	0.272
789	0.391
790	0.232
791	0.507
792	0.425
793	0.684
794	0.563
795	0.185
796	0.416
797	0.177
798	0.154
799	0.258
800	0.369
801	0.243
802	0.235
803	0.269
804	0.38
805	0.675
806	0.469
807	0.395
808	0.25
809	0.173
810	0.42
811	0.23
812	0.237
813	0.189
814	0.634
815	0.421
816	0.437
817	0.678
818	0.327
819	0.34
820	0.317
821	0.196
822	0.38
823	0.442
