seq	C	
1	0.302611
2	0.44026
3	0.31312
4	2.06047
5	1.28421
6	1.3436
7	0.9937
8	1.3315
9	1.5975
10	1.3684
11	1.1426
12	1.3286
13	0.2092
14	0.2693
15	0.3537
16	1.2409
17	1.4845
18	0.3559
19	0.6134
20	1.235
21	0.4247
22	1.1339
23	1.2996
24	0.2685
25	0.2776
26	0.4002
27	0.2733
28	0.4132
29	0.7447
30	0.9143
31	0.942
32	1.0303
33	1.2865
34	1.7287
35	1.016
36	1.676
37	2.2916
38	2.4433
39	2.221
40	0.7806
41	0.909
42	2.193
43	1.0238
44	2.7906
45	2.0079
46	1.2659
47	2.6421
48	1.638
49	0.6841
50	1.2365
51	0.999
52	0.936
53	0.9281
54	0.4948
55	0.9579
56	1.4083
57	1.5809
58	1.3754
59	0.5791
60	0.8058
61	1.2863
62	1.0281
63	0.9983
64	2.5471
65	2.2748
66	0.5112
67	0.4771
68	0.5938
69	0.1884
70	0.4491
71	0.3906
72	0.5041
73	0.3599
74	0.2472
75	1.0066
76	1.4063
77	1.2851
78	0.1526
79	0.695
80	0.8647
81	0.2316
82	0.4408
83	1.3978
84	1.6954
85	1.9631
86	1.0075
87	0.615
88	0.8066
89	0.2871
90	0.194
91	0.284
92	1.499
93	1.994
94	2.122
95	2.406
96	2.115
97	2.378
98	1.306
99	2.008
100	2.539
101	2.316
102	0.715
103	1.661
104	2.033
105	1.835
106	2.934
107	2.539
108	1.296
109	0.912
110	0.41
111	0.433
112	0.553
113	0.754
114	0.613
115	0.748
116	0.86
117	0.29
118	0.499
119	0.537
120	1.34
121	2.423
122	2.775
123	2.174
124	2.968
125	2.257
126	1.85
127	1.606
128	1.084
129	0.459
130	1.711
131	0.279
132	0.259
133	1.719
134	2.71
135	1.598
136	0.865
137	0.752
138	0.447
139	0.689
140	2.339
141	2.454
142	3.526
143	2.882
144	2.961
145	2.64
146	2.274
147	2.247
148	3.009
149	3.15
150	3.224
151	1.017
152	0.977
153	0.669
154	0.251
155	0.453
156	2.646
157	3.836
158	2.883
159	1.392
160	0.857
161	0.482
162	1.242
163	1.012
164	1.251
165	1.423
166	1.219
167	1.491
168	2.226
169	2.269
170	2.333
171	3.013
172	2.649
173	4.416
174	4.59
175	1.237
176	0.838
177	0.455
178	0.218
179	0.999
180	1.266
181	0.42
182	0.474
183	0.203
184	1.193
185	1.904
186	0.807
187	1.253
188	0.461
189	1.785
190	1.88
191	0.501
192	1.387
193	1.715
194	1.034
195	1.947
196	2.533
197	1.843
198	2.826
199	2.969
200	2.998
201	3.758
202	3.506
203	2.638
204	3.418
205	2.511
206	1.451
207	1.02
208	1.177
209	1.228
210	1.837
211	2.527
212	2.173
213	2.674
214	2.709
215	2.94
216	3.171
217	2.57
218	3.475
219	3.572
220	3.441
221	2.41
222	2.37
223	0.69
224	1.036
225	1.234
226	1.088
227	0.749
228	1.161
229	0.336
230	0.526
231	1.234
232	0.567
233	0.897
234	0.473
235	0.385
236	1.35
237	0.179
238	0.159
239	0.551
240	0.674
241	1.255
242	1.405
243	1.536
244	0.261
245	0.788
246	0.408
247	0.488
248	0.488
249	1.015
250	0.846
251	0.358
252	0.663
253	0.946
254	0.953
255	2.244
256	0.584
257	0.96
258	1.307
259	1.805
260	2.045
261	1.616
262	3.773
263	4.609
264	4.774
265	3.878
266	3.805
267	3.702
268	3.906
269	5.596
270	5.558
271	6.399
272	4.366
273	6.318
274	5.516
275	2.411
276	2.347
277	2.132
278	1.907
279	0.445
280	1.303
281	1.991
282	0.627
283	0.505
284	0.863
285	1.041
286	1.858
287	1.21
288	1.139
289	1.237
290	0.528
291	0.561
292	0.25
293	0.538
294	0.222
295	0.296
296	0.267
297	0.279
298	0.732
299	1.56
300	2.128
301	2.604
302	4.701
303	4.18
304	4.294
305	5.153
306	3.858
307	4.345
308	4.754
309	4.388
310	4.297
311	3.594
312	4.885
313	5.134
314	5.203
315	4.903
316	2.576
317	2.984
318	2.673
319	2.581
320	3.068
321	3.589
322	3.816
323	4.132
324	3.893
325	3.415
326	4.147
327	3.733
328	3.522
329	3.837
330	3.628
331	4.098
332	3.855
333	4.149
334	3.332
335	3.427
336	3.636
