seq	C	
516	0.158
517	0.257
518	0.355
519	0.153
520	0.332
521	0.304
522	0.447
523	0.161
524	0.217
525	0.207
526	0.356
527	0.275
528	0.221
529	0.483
530	0.409
531	0.549
532	0.353
533	0.336
534	0.466
535	0.451
536	0.373
537	0.185
538	0.322
539	0.447
540	0.277
541	0.207
542	0.303
543	0.415
544	0.629
545	0.487
546	0.456
547	0.161
548	0.384
549	0.212
550	0.286
551	0.374
552	0.187
553	0.239
554	0.344
555	0.601
556	0.264
557	0.264
558	0.54
559	0.82
560	0.492
561	0.662
562	0.327
563	0.345
564	0.369
565	0.33
566	0.275
567	0.184
568	0.194
569	0.34
570	0.386
571	0.374
572	0.602
573	0.407
574	0.267
575	0.221
576	0.232
577	0.449
578	0.31
579	0.248
580	0.319
581	0.401
582	0.31
583	0.296
584	0.211
585	0.429
586	0.291
587	0.397
588	0.217
589	0.241
590	0.271
591	0.363
592	0.301
593	0.246
594	0.434
595	0.175
596	0.439
597	0.443
598	0.376
599	0.284
600	0.155
601	0.441
602	0.257
603	0.17
604	0.386
605	0.331
606	0.293
607	0.176
608	0.392
609	0.246
610	0.199
611	0.433
612	0.629
613	0.409
614	0.22
615	0.218
616	0.233
617	0.245
618	0.434
619	0.512
620	0.457
621	0.393
622	0.226
623	0.352
624	0.214
625	0.182
626	0.342
627	0.163
628	0.267
629	0.335
630	0.442
631	0.29
632	0.388
633	0.21
634	0.217
635	0.279
636	0.428
637	0.329
638	0.169
639	0.455
640	0.317
641	0.317
642	0.211
643	0.442
644	0.432
645	0.291
646	0.254
647	0.346
648	0.475
649	0.397
650	0.48
651	0.464
652	0.383
653	0.623
654	0.418
655	0.453
656	0.723
657	0.762
658	0.362
659	0.236
660	0.179
661	0.224
662	0.431
663	0.206
664	0.283
665	0.248
666	0.327
667	0.188
668	0.165
669	0.265
670	0.495
671	0.291
672	0.411
673	0.579
674	0.428
675	0.581
676	0.475
677	0.28
678	0.225
679	0.361
680	0.581
681	0.248
682	0.509
683	0.26
684	0.445
685	0.272
686	0.376
687	0.489
688	0.529
689	0.787
690	0.212
691	0.246
692	0.35
693	0.34
694	0.445
695	0.378
696	0.306
697	0.387
698	0.207
699	0.299
700	0.397
701	0.217
702	0.411
703	0.192
704	0.247
705	0.309
706	0.412
707	0.273
708	0.353
709	0.391
710	0.679
711	0.422
712	0.624
713	0.28
714	0.44
715	0.322
716	0.335
717	0.186
718	0.181
719	0.34
720	0.447
721	0.159
722	0.416
723	0.333
724	0.592
725	0.81
726	0.528
727	0.558
728	0.238
729	0.388
730	0.428
731	0.635
732	0.183
733	0.452
734	0.492
735	0.682
736	0.161
737	0.258
738	0.295
739	0.412
740	0.578
