Time	Node	AppId	Type	Name	Seqno	HopCount
607.284	P	257	P_Data	/prefix/%FE%02W	599	0
607.432	P	257	P_GData	/prefix	600	0
607.434	C	257	C_Interest	/prefix/%FE%02W	599	0
607.436	C	257	C_Data	/prefix/%FE%02W	599	3
607.436	C	257	C_Interest	/prefix/%FE%02X	600	0
607.586	P	257	P_Interest	/prefix/%FE%02X	600	-1
607.586	P	257	P_Data	/prefix/%FE%02X	600	0
607.736	C	257	C_Interest	/prefix/%FE%02X	600	0
607.739	C	257	C_Data	/prefix/%FE%02X	600	3
607.739	C	257	C_Interest	/prefix/%FE%02Y	601	0
607.889	P	257	P_Interest	/prefix/%FE%02Y	601	-1
608.039	C	257	C_Interest	/prefix/%FE%02Y	601	0
608.189	P	257	P_Interest	/prefix/%FE%02Y	601	-1
608.339	C	257	C_Interest	/prefix/%FE%02Y	601	0
608.489	P	257	P_Interest	/prefix/%FE%02Y	601	-1
608.639	C	257	C_Interest	/prefix/%FE%02Y	601	0
608.724	P	257	P_GData	/prefix	601	0
608.789	P	257	P_Interest	/prefix/%FE%02Y	601	-1
608.789	P	257	P_Data	/prefix/%FE%02Y	601	0
608.894	P	257	P_GData	/prefix	602	0
608.939	C	257	C_Interest	/prefix/%FE%02Y	601	0
608.941	C	257	C_Data	/prefix/%FE%02Y	601	3
608.941	C	257	C_Interest	/prefix/%FE%02Z	602	0
609.241	C	257	C_Interest	/prefix/%FE%02Z	602	0
609.379	P	257	P_GData	/prefix	603	0
609.391	P	257	P_Interest	/prefix/%FE%02Z	602	-1
609.391	P	257	P_Data	/prefix/%FE%02Z	602	0
609.541	C	257	C_Interest	/prefix/%FE%02Z	602	0
609.544	C	257	C_Data	/prefix/%FE%02Z	602	3
609.544	C	257	C_Interest	/prefix/%FE%02%5B	603	0
609.694	P	257	P_Interest	/prefix/%FE%02%5B	603	-1
609.694	P	257	P_Data	/prefix/%FE%02%5B	603	0
609.844	C	257	C_Interest	/prefix/%FE%02%5B	603	0
609.847	C	257	C_Data	/prefix/%FE%02%5B	603	3
609.847	C	257	C_Interest	/prefix/%FE%02%5C	604	0
609.997	P	257	P_Interest	/prefix/%FE%02%5C	604	-1
610.147	C	257	C_Interest	/prefix/%FE%02%5C	604	0
610.297	P	257	P_Interest	/prefix/%FE%02%5C	604	-1
610.447	C	257	C_Interest	/prefix/%FE%02%5C	604	0
610.597	P	257	P_Interest	/prefix/%FE%02%5C	604	-1
610.747	C	257	C_Interest	/prefix/%FE%02%5C	604	0
610.897	P	257	P_Interest	/prefix/%FE%02%5C	604	-1
610.909	P	257	P_GData	/prefix	604	0
611.047	C	257	C_Interest	/prefix/%FE%02%5C	604	0
611.197	P	257	P_Interest	/prefix/%FE%02%5C	604	-1
611.197	P	257	P_Data	/prefix/%FE%02%5C	604	0
611.347	C	257	C_Interest	/prefix/%FE%02%5C	604	0
611.349	C	257	C_Data	/prefix/%FE%02%5C	604	3
611.349	C	257	C_Interest	/prefix/%FE%02%5D	605	0
611.499	P	257	P_Interest	/prefix/%FE%02%5D	605	-1
611.649	C	257	C_Interest	/prefix/%FE%02%5D	605	0
611.65	P	257	P_GData	/prefix	605	0
611.799	P	257	P_Interest	/prefix/%FE%02%5D	605	-1
611.799	P	257	P_Data	/prefix/%FE%02%5D	605	0
611.949	C	257	C_Interest	/prefix/%FE%02%5D	605	0
611.952	C	257	C_Data	/prefix/%FE%02%5D	605	3
611.952	C	257	C_Interest	/prefix/%FE%02%5E	606	0
612.102	P	257	P_Interest	/prefix/%FE%02%5E	606	-1
612.252	C	257	C_Interest	/prefix/%FE%02%5E	606	0
612.402	P	257	P_Interest	/prefix/%FE%02%5E	606	-1
612.552	C	257	C_Interest	/prefix/%FE%02%5E	606	0
612.567	P	257	P_GData	/prefix	606	0
612.702	P	257	P_Interest	/prefix/%FE%02%5E	606	-1
612.702	P	257	P_Data	/prefix/%FE%02%5E	606	0
612.852	C	257	C_Interest	/prefix/%FE%02%5E	606	0
612.956	P	257	P_GData	/prefix	607	0
613.054	C	257	C_Data	/prefix/%FE%02%5E	606	3
613.054	C	257	C_Interest	/prefix/%FE%02_	607	0
613.204	P	257	P_Interest	/prefix/%FE%02_	607	-1
613.204	P	257	P_Data	/prefix/%FE%02_	607	0
613.354	C	257	C_Interest	/prefix/%FE%02_	607	0
613.356	C	257	C_Data	/prefix/%FE%02_	607	3
613.356	C	257	C_Interest	/prefix/%FE%02%60	608	0
613.432	P	257	P_GData	/prefix	608	0
613.506	P	257	P_Interest	/prefix/%FE%02%60	608	-1
613.506	P	257	P_Data	/prefix/%FE%02%60	608	0
613.656	C	257	C_Interest	/prefix/%FE%02%60	608	0
613.659	C	257	C_Data	/prefix/%FE%02%60	608	3
613.659	C	257	C_Interest	/prefix/%FE%02a	609	0
613.809	P	257	P_Interest	/prefix/%FE%02a	609	-1
613.959	C	257	C_Interest	/prefix/%FE%02a	609	0
614.109	P	257	P_Interest	/prefix/%FE%02a	609	-1
614.259	C	257	C_Interest	/prefix/%FE%02a	609	0
614.409	P	257	P_Interest	/prefix/%FE%02a	609	-1
614.559	C	257	C_Interest	/prefix/%FE%02a	609	0
614.859	C	257	C_Interest	/prefix/%FE%02a	609	0
614.911	P	257	P_GData	/prefix	609	0
615.009	P	257	P_Interest	/prefix/%FE%02a	609	-1
615.009	P	257	P_Data	/prefix/%FE%02a	609	0
615.159	C	257	C_Interest	/prefix/%FE%02a	609	0
615.161	C	257	C_Data	/prefix/%FE%02a	609	3
615.161	C	257	C_Interest	/prefix/%FE%02b	610	0
615.311	P	257	P_Interest	/prefix/%FE%02b	610	-1
615.461	C	257	C_Interest	/prefix/%FE%02b	610	0
615.611	P	257	P_Interest	/prefix/%FE%02b	610	-1
615.751	P	257	P_GData	/prefix	610	0
615.761	C	257	C_Interest	/prefix/%FE%02b	610	0
615.911	P	257	P_Interest	/prefix/%FE%02b	610	-1
615.911	P	257	P_Data	/prefix/%FE%02b	610	0
616.061	C	257	C_Interest	/prefix/%FE%02b	610	0
616.064	C	257	C_Data	/prefix/%FE%02b	610	3
616.064	C	257	C_Interest	/prefix/%FE%02c	611	0
